theta max(rad),theta settling time(s),x final value(m),x settling time(s),l final value(m),l settling time(s),lambda 1,k,lambda 2,alpha 1
0.01682,66.2,4.903,-0.01,1.0,45.61,0.05,0.2,0.85,1.5
0.01598,48.84,5.0,62.56,1.0,45.64,0.1,0.2,0.85,1.5
0.01639,41.09,4.997,43.97,1.0,45.62,0.15,0.2,0.85,1.5
0.01453,43.94,4.999,35.7,1.0,45.62,0.2,0.2,0.85,1.5
0.01553,37.09,4.999,31.66,1.0,45.59,0.25,0.2,0.85,1.5
0.01332,38.72,4.999,29.71,1.0,45.61,0.3,0.2,0.85,1.5
0.01338,40.25,4.999,29.63,1.0,45.63,0.35,0.2,0.85,1.5
0.01348,41.82,4.999,29.52,1.0,45.63,0.4,0.2,0.85,1.5
0.01223,41.84,4.999,30.85,1.0,45.6,0.45,0.2,0.85,1.5
0.01269,43.26,5.0,31.87,1.0,45.58,0.5,0.2,0.85,1.5
0.01224,44.0,5.0,32.99,1.0,45.61,0.55,0.2,0.85,1.5
0.01187,43.58,5.0,34.88,1.0,45.59,0.6,0.2,0.85,1.5
0.01187,45.83,5.0,36.88,1.0,45.57,0.65,0.2,0.85,1.5
0.01174,46.48,5.0,38.95,1.0,45.62,0.7,0.2,0.85,1.5
0.01162,47.3,5.0,41.03,1.0,45.61,0.75,0.2,0.85,1.5
0.01155,49.19,5.0,43.13,1.0,45.59,0.8,0.2,0.85,1.5
0.01137,50.58,5.0,45.29,1.0,45.59,0.85,0.2,0.85,1.5
0.01101,52.48,5.0,47.47,1.0,45.58,0.9,0.2,0.85,1.5
0.01083,54.55,5.0,49.6,1.0,45.56,0.95,0.2,0.85,1.5
0.01067,56.23,5.0,51.76,1.0,45.62,1.0,0.2,0.85,1.5
0.02041,65.91,4.901,-0.01,1.0,37.37,0.05,0.25,0.85,1.5
0.01998,48.26,4.994,62.77,1.0,37.38,0.1,0.25,0.85,1.5
0.01903,39.41,4.996,43.04,1.0,37.35,0.15,0.25,0.85,1.5
0.01978,35.84,4.999,34.32,1.0,37.42,0.2,0.25,0.85,1.5
0.01739,33.02,5.001,29.81,1.0,37.42,0.25,0.25,0.85,1.5
0.01967,34.36,4.999,27.74,1.0,37.38,0.3,0.25,0.85,1.5
0.01599,35.66,4.999,26.54,1.0,37.34,0.35,0.25,0.85,1.5
0.01786,35.23,4.999,25.84,1.0,37.36,0.4,0.25,0.85,1.5
0.01482,36.3,4.999,26.61,1.0,37.38,0.45,0.25,0.85,1.5
0.01649,36.6,4.999,27.66,1.0,37.33,0.5,0.25,0.85,1.5
0.01469,37.25,4.999,27.86,1.0,37.37,0.55,0.25,0.85,1.5
0.0155,37.64,5.001,29.06,1.0,37.34,0.6,0.25,0.85,1.5
0.01469,37.99,5.0,30.56,1.0,37.38,0.65,0.25,0.85,1.5
0.01467,39.27,5.0,32.11,1.0,37.37,0.7,0.25,0.85,1.5
0.01475,40.58,5.0,33.7,1.0,37.34,0.75,0.25,0.85,1.5
0.01453,41.29,5.0,35.32,1.0,37.33,0.8,0.25,0.85,1.5
0.01425,42.15,5.0,37.04,1.0,37.39,0.85,0.25,0.85,1.5
0.01379,43.4,5.0,38.76,1.0,37.38,0.9,0.25,0.85,1.5
0.01354,45.41,5.0,40.48,1.0,37.37,0.95,0.25,0.85,1.5
0.01334,47.1,5.0,42.09,1.0,37.36,1.0,0.25,0.85,1.5
0.02258,65.92,4.905,-0.01,1.0,31.9,0.05,0.3,0.85,1.5
0.02398,47.93,4.999,61.99,1.0,31.94,0.1,0.3,0.85,1.5
0.02285,38.7,4.996,42.7,1.0,31.99,0.15,0.3,0.85,1.5
0.0244,33.55,5.0,33.96,1.0,31.91,0.2,0.3,0.85,1.5
0.0218,31.84,4.998,29.21,1.0,31.91,0.25,0.3,0.85,1.5
0.02,31.0,5.001,25.91,1.0,31.95,0.3,0.3,0.85,1.5
0.02346,31.55,5.0,24.42,1.0,31.91,0.35,0.3,0.85,1.5
0.01846,31.17,5.0,24.25,1.0,31.91,0.4,0.3,0.85,1.5
0.02003,31.64,5.001,23.78,1.0,31.88,0.45,0.3,0.85,1.5
0.01922,32.21,5.0,24.48,1.0,31.96,0.5,0.3,0.85,1.5
0.0179,33.09,5.0,25.21,1.0,31.96,0.55,0.3,0.85,1.5
0.01892,33.26,4.999,25.23,1.0,31.94,0.6,0.3,0.85,1.5
0.01739,34.13,5.0,26.36,1.0,31.88,0.65,0.3,0.85,1.5
0.01814,34.48,5.0,27.56,1.0,31.96,0.7,0.3,0.85,1.5
0.0175,35.62,5.0,28.84,1.0,31.91,0.75,0.3,0.85,1.5
0.01752,35.99,5.0,30.14,1.0,31.9,0.8,0.3,0.85,1.5
0.01733,37.42,5.0,31.48,1.0,31.88,0.85,0.3,0.85,1.5
0.01656,39.02,5.0,32.91,1.0,31.95,0.9,0.3,0.85,1.5
0.01625,39.04,5.0,34.35,1.0,31.93,0.95,0.3,0.85,1.5
0.01601,40.7,5.0,35.76,1.0,31.91,1.0,0.3,0.85,1.5
0.02395,65.9,4.911,-0.01,1.0,28.02,0.05,0.35,0.85,1.5
0.02798,47.66,4.994,62.27,1.0,28.09,0.1,0.35,0.85,1.5
0.02666,38.24,4.999,43.4,1.0,28.06,0.15,0.35,0.85,1.5
0.02546,32.98,5.002,32.77,1.0,28.12,0.2,0.35,0.85,1.5
0.03019,29.98,4.997,28.41,1.0,28.03,0.25,0.35,0.85,1.5
0.02335,28.46,5.0,25.09,1.0,28.12,0.3,0.35,0.85,1.5
0.02242,27.54,5.001,23.18,1.0,28.03,0.35,0.35,0.85,1.5
0.027,28.8,4.999,22.75,1.0,28.11,0.4,0.35,0.85,1.5
0.02141,28.62,5.0,21.8,1.0,28.03,0.45,0.35,0.85,1.5
0.02119,29.53,5.0,22.28,1.0,28.07,0.5,0.35,0.85,1.5
0.0238,30.23,5.0,22.89,1.0,28.08,0.55,0.35,0.85,1.5
0.01958,30.07,5.0,22.73,1.0,28.09,0.6,0.35,0.85,1.5
0.02209,31.01,5.0,23.34,1.0,28.04,0.65,0.35,0.85,1.5
0.02044,31.05,4.999,24.33,1.0,28.01,0.7,0.35,0.85,1.5
0.02093,32.11,5.0,25.36,1.0,28.07,0.75,0.35,0.85,1.5
0.0204,33.05,5.0,26.41,1.0,28.04,0.8,0.35,0.85,1.5
0.02036,33.47,5.0,27.55,1.0,28.0,0.85,0.35,0.85,1.5
0.01926,34.82,5.0,28.77,1.0,28.09,0.9,0.35,0.85,1.5
0.01907,36.27,5.0,29.96,1.0,28.07,0.95,0.35,0.85,1.5
0.01867,37.73,5.0,31.21,1.0,28.05,1.0,0.35,0.85,1.5
0.02487,65.74,4.901,-0.01,1.0,25.19,0.05,0.4,0.85,1.5
0.03219,47.54,4.999,61.7,1.0,25.22,0.1,0.4,0.85,1.5
0.03048,37.95,4.998,43.83,1.0,25.2,0.15,0.4,0.85,1.5
0.02911,32.41,5.0,32.77,1.0,25.16,0.2,0.4,0.85,1.5
0.03073,28.71,4.998,27.38,1.0,25.19,0.25,0.4,0.85,1.5
0.03392,26.94,4.999,24.19,1.001,25.25,0.3,0.4,0.85,1.5
0.02564,27.14,5.001,22.34,1.0,25.2,0.35,0.4,0.85,1.5
0.02465,26.25,5.001,21.36,1.001,25.23,0.4,0.4,0.85,1.5
0.03064,26.8,5.001,20.33,1.0,25.23,0.45,0.4,0.85,1.5
0.02507,27.29,4.999,20.46,1.0,25.18,0.5,0.4,0.85,1.5
0.02241,27.12,5.001,21.02,1.0,25.21,0.55,0.4,0.85,1.5
0.02728,27.88,5.0,21.55,1.0,25.19,0.6,0.4,0.85,1.5
0.02333,28.46,5.0,21.23,1.0,25.14,0.65,0.4,0.85,1.5
0.02355,28.59,5.0,21.95,1.0,25.15,0.7,0.4,0.85,1.5
0.02493,29.41,5.0,22.75,1.0,25.16,0.75,0.4,0.85,1.5
0.02265,30.3,5.0,23.7,1.0,25.21,0.8,0.4,0.85,1.5
0.02383,31.25,5.0,24.64,1.0,25.19,0.85,0.4,0.85,1.5
0.0219,31.67,5.0,25.64,1.0,25.14,0.9,0.4,0.85,1.5
0.02192,32.92,5.0,26.67,1.0,25.11,0.95,0.4,0.85,1.5
0.0213,34.21,5.0,27.71,1.0,25.21,1.0,0.4,0.85,1.5
0.02552,65.95,4.916,-0.01,1.0,22.89,0.05,0.45,0.85,1.5
0.03597,47.47,5.004,58.23,1.0,22.98,0.1,0.45,0.85,1.5
0.0343,37.73,4.998,43.99,1.0,23.03,0.15,0.45,0.85,1.5
0.03277,32.09,4.999,32.92,1.0,23.04,0.2,0.45,0.85,1.5
0.03136,28.65,4.998,27.02,1.0,23.0,0.25,0.45,0.85,1.5
0.03825,25.79,5.0,23.78,1.0,22.93,0.3,0.45,0.85,1.5
0.03597,25.95,4.999,21.89,0.999,22.93,0.35,0.45,0.85,1.5
0.02775,24.59,4.998,20.55,1.001,23.04,0.4,0.45,0.85,1.5
0.02781,25.31,4.999,20.09,1.0,22.96,0.45,0.45,0.85,1.5
0.03422,25.8,5.0,19.15,1.0,23.0,0.5,0.45,0.85,1.5
0.02851,26.21,4.999,19.47,1.0,22.96,0.55,0.45,0.85,1.5
0.02403,26.0,5.0,19.92,1.0,22.98,0.6,0.45,0.85,1.5
0.03014,26.77,4.999,20.42,1.0,22.93,0.65,0.45,0.85,1.5
0.02771,27.27,5.0,20.05,1.0,22.93,0.7,0.45,0.85,1.5
0.02506,27.36,5.0,20.78,1.0,22.93,0.75,0.45,0.85,1.5
0.02867,28.2,5.001,21.48,1.0,22.91,0.8,0.45,0.85,1.5
0.02514,28.98,5.0,22.32,1.001,23.01,0.85,0.45,0.85,1.5
0.0256,30.05,5.001,23.2,1.0,22.95,0.9,0.45,0.85,1.5
0.02432,30.32,5.001,24.09,1.0,22.92,0.95,0.45,0.85,1.5
0.02414,32.29,5.001,25.03,0.999,22.89,1.0,0.45,0.85,1.5
0.026,65.92,4.912,-0.01,1.0,21.11,0.05,0.5,0.85,1.5
0.03928,47.34,5.003,58.54,1.001,21.28,0.1,0.5,0.85,1.5
0.04056,37.61,5.001,41.34,1.001,21.29,0.15,0.5,0.85,1.5
0.03642,31.85,4.999,33.21,1.0,21.28,0.2,0.5,0.85,1.5
0.03486,28.23,4.999,27.18,1.0,21.2,0.25,0.5,0.85,1.5
0.03657,26.3,4.999,23.59,0.999,21.15,0.3,0.5,0.85,1.5
0.04368,25.02,5.001,20.94,1.0,21.2,0.35,0.5,0.85,1.5
0.03657,23.42,4.999,20.1,1.0,21.2,0.4,0.5,0.85,1.5
0.02971,23.89,5.001,18.96,1.0,21.23,0.45,0.5,0.85,1.5
0.03179,24.57,5.0,18.2,1.0,21.22,0.5,0.5,0.85,1.5
0.03795,25.05,5.001,18.28,0.999,21.14,0.55,0.5,0.85,1.5
0.03164,24.52,5.0,18.63,1.0,21.25,0.6,0.5,0.85,1.5
0.02591,25.1,4.999,19.02,0.999,21.12,0.65,0.5,0.85,1.5
0.03301,25.91,5.001,18.54,1.0,21.21,0.7,0.5,0.85,1.5
0.03204,25.67,4.999,19.21,1.001,21.25,0.75,0.5,0.85,1.5
0.02728,26.41,5.0,19.84,1.0,21.25,0.8,0.5,0.85,1.5
0.03077,27.29,4.999,20.56,1.0,21.2,0.85,0.5,0.85,1.5
0.0277,28.09,5.0,21.29,1.0,21.17,0.9,0.5,0.85,1.5
0.02715,29.14,5.0,22.09,1.001,21.25,0.95,0.5,0.85,1.5
0.02706,30.16,4.999,22.96,1.0,21.23,1.0,0.5,0.85,1.5
0.02636,65.7,4.896,-0.01,1.001,19.8,0.05,0.55,0.85,1.5
0.04185,47.21,4.997,63.53,0.999,19.68,0.1,0.55,0.85,1.5
0.0465,37.55,5.004,39.76,1.0,19.75,0.15,0.55,0.85,1.5
0.04008,31.68,4.999,32.7,1.001,19.87,0.2,0.55,0.85,1.5
0.03836,27.91,5.002,25.76,1.0,19.75,0.25,0.55,0.85,1.5
0.03678,25.71,4.999,22.64,1.0,19.79,0.3,0.55,0.85,1.5
0.04536,24.21,4.998,20.91,1.0,19.8,0.35,0.55,0.85,1.5
0.04721,24.29,4.998,19.62,1.001,19.88,0.4,0.55,0.85,1.5
0.03601,22.87,5.001,18.17,1.001,19.88,0.45,0.55,0.85,1.5
0.03154,23.32,5.0,17.67,1.001,19.86,0.5,0.55,0.85,1.5
0.03622,23.99,5.0,17.4,1.0,19.76,0.55,0.55,0.85,1.5
0.04172,24.41,5.001,17.56,0.999,19.71,0.6,0.55,0.85,1.5
0.03435,23.89,5.001,17.82,1.001,19.84,0.65,0.55,0.85,1.5
0.02798,23.72,4.999,18.17,0.999,19.68,0.7,0.55,0.85,1.5
0.036,25.23,5.0,17.84,1.0,19.77,0.75,0.55,0.85,1.5
0.03597,25.01,5.0,18.39,1.001,19.84,0.8,0.55,0.85,1.5
0.02922,25.72,5.0,19.05,1.001,19.84,0.85,0.55,0.85,1.5
0.03213,26.62,5.0,19.75,1.0,19.77,0.9,0.55,0.85,1.5
0.03037,27.45,5.0,20.41,1.0,19.75,0.95,0.55,0.85,1.5
0.02885,28.4,5.0,21.2,0.999,19.81,1.0,0.55,0.85,1.5
0.02665,65.99,4.913,-0.01,0.999,18.48,0.05,0.6,0.85,1.5
0.04386,47.16,4.994,62.13,1.001,18.63,0.1,0.6,0.85,1.5
0.05154,37.34,4.994,44.15,0.999,18.52,0.15,0.6,0.85,1.5
0.04636,31.5,4.999,32.4,1.001,18.71,0.2,0.6,0.85,1.5
0.04187,27.71,5.001,26.07,1.0,18.62,0.25,0.6,0.85,1.5
0.04015,25.16,4.999,23.07,1.0,18.59,0.3,0.6,0.85,1.5
0.04248,23.56,4.997,20.8,1.001,18.66,0.35,0.6,0.85,1.5
0.05223,23.62,4.998,19.18,1.001,18.68,0.4,0.6,0.85,1.5
0.04885,22.12,5.001,17.52,1.0,18.66,0.45,0.6,0.85,1.5
0.03455,22.39,4.999,17.42,1.001,18.67,0.5,0.6,0.85,1.5
0.03324,21.93,5.0,16.7,1.001,18.65,0.55,0.6,0.85,1.5
0.0411,23.51,4.999,16.83,1.001,18.66,0.6,0.6,0.85,1.5
0.04544,23.89,4.999,17.07,1.001,18.64,0.65,0.6,0.85,1.5
0.03664,23.39,4.999,17.3,1.0,18.55,0.7,0.6,0.85,1.5
0.03053,23.23,5.001,16.87,1.0,18.56,0.75,0.6,0.85,1.5
0.03955,24.67,5.0,17.27,0.999,18.48,0.8,0.6,0.85,1.5
0.03839,24.5,4.999,17.83,1.0,18.57,0.85,0.6,0.85,1.5
0.03081,25.23,5.0,18.39,1.0,18.57,0.9,0.6,0.85,1.5
0.03376,26.13,5.0,19.07,0.999,18.49,0.95,0.6,0.85,1.5
0.03297,26.92,4.999,19.75,0.999,18.5,1.0,0.6,0.85,1.5
0.02687,65.77,4.899,-0.01,0.999,17.46,0.05,0.65,0.85,1.5
0.04547,47.09,4.995,66.66,1.0,17.52,0.1,0.65,0.85,1.5
0.05581,37.26,4.999,42.59,1.0,17.57,0.15,0.65,0.85,1.5
0.05406,31.43,5.0,31.82,0.999,17.54,0.2,0.65,0.85,1.5
0.04538,27.59,5.003,25.21,0.999,17.56,0.25,0.65,0.85,1.5
0.04352,24.84,5.001,22.18,1.0,17.59,0.3,0.65,0.85,1.5
0.04179,23.03,5.0,19.97,1.0,17.59,0.35,0.65,0.85,1.5
0.05228,23.02,4.999,18.57,0.999,17.55,0.4,0.65,0.85,1.5
0.05718,21.5,5.001,17.1,1.0,17.67,0.45,0.65,0.85,1.5
0.04892,21.75,4.999,16.94,1.001,17.67,0.5,0.65,0.85,1.5
0.03604,21.91,4.999,16.37,0.999,17.52,0.55,0.65,0.85,1.5
0.03483,21.68,5.001,15.98,1.0,17.55,0.6,0.65,0.85,1.5
0.04637,23.1,5.001,16.21,0.999,17.49,0.65,0.65,0.85,1.5
0.04911,22.66,5.0,16.45,0.999,17.5,0.7,0.65,0.85,1.5
0.03829,22.97,4.999,16.61,1.0,17.55,0.75,0.65,0.85,1.5
0.03347,22.87,5.0,16.37,1.0,17.57,0.8,0.65,0.85,1.5
0.04178,23.55,4.999,16.8,0.999,17.52,0.85,0.65,0.85,1.5
0.03979,24.14,5.001,17.25,1.0,17.61,0.9,0.65,0.85,1.5
0.03289,24.88,5.0,17.89,1.0,17.62,0.95,0.65,0.85,1.5
0.03544,25.73,5.001,18.46,1.0,17.53,1.0,0.65,0.85,1.5
0.02706,65.93,4.918,-0.01,0.999,16.63,0.05,0.7,0.85,1.5
0.04677,47.14,4.993,70.48,1.001,16.82,0.1,0.7,0.85,1.5
0.05946,37.3,5.005,39.15,1.0,16.79,0.15,0.7,0.85,1.5
0.06089,31.25,4.997,33.22,0.999,16.69,0.2,0.7,0.85,1.5
0.05038,27.38,4.997,27.42,1.0,16.79,0.25,0.7,0.85,1.5
0.04689,24.52,4.996,23.18,1.0,16.79,0.3,0.7,0.85,1.5
0.04504,22.64,5.0,19.34,1.001,16.89,0.35,0.7,0.85,1.5
0.04858,22.48,4.999,18.23,0.999,16.7,0.4,0.7,0.85,1.5
0.0604,20.98,4.999,17.12,0.999,16.68,0.45,0.7,0.85,1.5
0.0601,21.21,5.0,16.31,1.0,16.77,0.5,0.7,0.85,1.5
0.04735,21.43,4.999,16.14,1.0,16.77,0.55,0.7,0.85,1.5
0.03754,20.02,5.001,15.34,1.0,16.74,0.6,0.7,0.85,1.5
0.03927,21.5,5.0,15.58,0.999,16.66,0.65,0.7,0.85,1.5
0.05212,22.78,4.999,15.93,1.0,16.73,0.7,0.7,0.85,1.5
0.05219,22.37,5.0,15.93,1.0,16.73,0.75,0.7,0.85,1.5
0.03915,21.89,5.001,15.48,1.0,16.7,0.8,0.7,0.85,1.5
0.03596,22.64,5.001,15.89,1.0,16.74,0.85,0.7,0.85,1.5
0.04397,24.02,5.0,16.36,1.0,16.75,0.9,0.7,0.85,1.5
0.04119,23.89,4.999,16.89,1.001,16.84,0.95,0.7,0.85,1.5
0.03487,24.61,5.0,17.41,0.999,16.76,1.0,0.7,0.85,1.5
0.02723,65.83,4.9,-0.01,0.999,15.91,0.05,0.75,0.85,1.5
0.04785,47.16,4.997,63.5,1.0,16.0,0.1,0.75,0.85,1.5
0.06265,37.23,5.004,39.65,1.001,16.14,0.15,0.75,0.85,1.5
0.06695,31.2,4.997,33.44,1.001,16.12,0.2,0.75,0.85,1.5
0.05935,27.3,5.004,24.78,1.0,16.02,0.25,0.75,0.85,1.5
0.05027,24.52,5.0,22.18,1.0,16.05,0.3,0.75,0.85,1.5
0.04828,22.28,5.0,19.53,1.001,16.16,0.35,0.75,0.85,1.5
0.04645,21.98,4.999,18.2,1.001,16.14,0.4,0.75,0.85,1.5
0.05936,20.53,5.0,16.62,1.0,16.04,0.45,0.75,0.85,1.5
0.06659,20.73,5.001,15.88,0.999,15.94,0.5,0.75,0.85,1.5
0.06099,20.97,4.999,15.85,1.001,16.14,0.55,0.75,0.85,1.5
0.04439,21.12,5.0,14.88,1.001,16.14,0.6,0.75,0.85,1.5
0.03894,19.9,4.999,15.1,1.0,16.07,0.65,0.75,0.85,1.5
0.04622,21.34,4.999,15.29,0.999,15.91,0.7,0.75,0.85,1.5
0.05783,21.8,5.0,15.42,1.001,16.12,0.75,0.75,0.85,1.5
0.05444,22.14,5.0,14.73,1.0,16.05,0.8,0.75,0.85,1.5
0.03868,21.69,4.999,15.22,0.999,15.93,0.85,0.75,0.85,1.5
0.03868,22.48,5.0,15.61,1.0,16.02,0.9,0.75,0.85,1.5
0.04593,23.95,5.0,16.03,1.001,16.08,0.95,0.75,0.85,1.5
0.04255,23.68,5.0,16.5,0.999,15.9,1.0,0.75,0.85,1.5
0.02735,66.23,4.92,-0.01,1.0,15.34,0.05,0.8,0.85,1.5
0.04875,47.02,4.993,68.77,1.0,15.36,0.1,0.8,0.85,1.5
0.06546,37.09,5.002,40.3,1.0,15.39,0.15,0.8,0.85,1.5
0.07232,31.11,5.003,30.13,1.0,15.41,0.2,0.8,0.85,1.5
0.06765,27.17,5.004,24.67,0.999,15.32,0.25,0.8,0.85,1.5
0.05365,24.46,5.0,22.03,1.0,15.38,0.3,0.8,0.85,1.5
0.05154,22.43,5.002,19.12,0.999,15.35,0.35,0.8,0.85,1.5
0.04958,21.49,5.0,17.39,1.0,15.39,0.4,0.8,0.85,1.5
0.05518,20.13,5.0,16.48,1.001,15.46,0.45,0.8,0.85,1.5
0.06868,20.32,5.001,15.45,1.0,15.43,0.5,0.8,0.85,1.5
0.07071,20.55,5.0,15.27,0.999,15.34,0.55,0.8,0.85,1.5
0.05989,20.75,4.999,14.51,0.999,15.55,0.6,0.8,0.85,1.5
0.04158,79.28,5.0,14.56,1.0,15.34,0.65,0.8,0.85,1.5
0.04026,20.55,5.0,14.6,0.999,15.31,0.7,0.8,0.85,1.5
0.05411,21.22,5.0,14.8,1.0,15.36,0.75,0.8,0.85,1.5
0.06264,21.64,4.999,14.13,1.0,15.43,0.8,0.8,0.85,1.5
0.05364,21.96,4.999,14.44,1.001,15.51,0.85,0.8,0.85,1.5
0.03754,21.59,5.001,14.83,0.999,15.27,0.9,0.8,0.85,1.5
0.04205,22.38,4.999,15.34,1.001,15.46,0.95,0.8,0.85,1.5
0.04821,23.84,5.0,15.73,1.0,15.32,1.0,0.8,0.85,1.5
0.02747,66.2,4.906,-0.01,1.0,14.77,0.05,0.85,0.85,1.5
0.04951,47.12,4.991,73.73,0.999,14.7,0.1,0.85,0.85,1.5
0.06795,37.04,4.999,42.3,1.001,14.93,0.15,0.85,0.85,1.5
0.07713,31.04,5.003,30.05,1.001,14.95,0.2,0.85,0.85,1.5
0.07519,27.02,5.002,24.72,0.999,14.77,0.25,0.85,0.85,1.5
0.06288,24.38,5.001,21.51,1.0,14.88,0.3,0.85,0.85,1.5
0.05479,22.41,4.998,19.34,0.999,14.78,0.35,0.85,0.85,1.5
0.05271,21.08,5.002,17.05,0.999,14.77,0.4,0.85,0.85,1.5
0.05077,19.78,5.001,16.12,0.999,14.76,0.45,0.85,0.85,1.5
0.06699,19.97,5.002,15.1,1.001,14.96,0.5,0.85,0.85,1.5
0.0761,20.18,5.002,14.62,1.0,14.86,0.55,0.85,0.85,1.5
0.07255,20.38,4.999,13.96,1.001,14.91,0.6,0.85,0.85,1.5
0.05678,20.54,4.999,14.01,1.0,14.82,0.65,0.85,0.85,1.5
0.04282,19.11,4.999,14.15,0.999,14.75,0.7,0.85,0.85,1.5
0.04475,20.61,4.999,14.38,1.0,14.87,0.75,0.85,0.85,1.5
0.06155,21.14,4.999,13.58,1.001,14.88,0.8,0.85,0.85,1.5
0.06426,79.39,5.0,13.84,0.999,14.71,0.85,0.85,0.85,1.5
0.05078,21.8,5.001,14.11,1.001,14.9,0.9,0.85,0.85,1.5
0.03865,21.59,5.0,14.59,1.001,14.89,0.95,0.85,0.85,1.5
0.04565,23.16,5.0,15.06,1.001,14.94,1.0,0.85,0.85,1.5
0.02757,66.17,4.89,-0.01,1.0,14.23,0.05,0.9,0.85,1.5
0.0503,47.07,5.008,55.04,1.001,14.39,0.1,0.9,0.85,1.5
0.07015,37.02,5.001,40.52,0.999,14.21,0.15,0.9,0.85,1.5
0.08147,31.02,4.996,33.92,1.001,14.51,0.2,0.9,0.85,1.5
0.08209,26.98,5.001,25.34,1.001,14.48,0.25,0.9,0.85,1.5
0.07228,24.19,4.997,22.73,0.999,14.32,0.3,0.9,0.85,1.5
0.05805,22.28,5.0,19.18,1.001,14.49,0.35,0.9,0.85,1.5
0.05585,20.75,5.002,16.88,1.001,14.53,0.4,0.9,0.85,1.5
0.0538,19.44,4.999,16.14,0.999,14.27,0.45,0.9,0.85,1.5
0.06242,19.62,4.999,15.2,1.0,14.36,0.5,0.9,0.85,1.5
0.07744,19.84,5.001,14.55,1.0,14.35,0.55,0.9,0.85,1.5
0.08125,20.06,5.001,13.49,1.0,14.31,0.6,0.9,0.85,1.5
0.07201,20.25,5.001,13.54,1.0,14.4,0.65,0.9,0.85,1.5
0.0518,19.47,4.999,13.69,1.0,14.31,0.7,0.9,0.85,1.5
0.04399,19.14,5.0,13.72,0.999,14.5,0.75,0.9,0.85,1.5
0.05304,20.62,5.0,13.16,0.999,14.25,0.8,0.9,0.85,1.5
0.06647,79.46,5.0,13.24,0.999,14.21,0.85,0.9,0.85,1.5
0.06412,21.43,5.0,13.58,1.0,14.29,0.9,0.9,0.85,1.5
0.04878,21.73,5.001,13.92,1.0,14.31,0.95,0.9,0.85,1.5
0.04093,21.57,4.999,14.44,1.0,14.34,1.0,0.9,0.85,1.5
0.02767,66.41,4.916,-0.01,1.001,13.97,0.05,0.95,0.85,1.5
0.05114,47.16,4.992,71.94,0.999,13.74,0.1,0.95,0.85,1.5
0.07221,36.96,4.995,45.95,0.999,13.75,0.15,0.95,0.85,1.5
0.08539,30.9,4.999,31.76,1.001,14.02,0.2,0.95,0.85,1.5
0.08844,26.83,4.996,27.66,0.999,14.13,0.25,0.95,0.85,1.5
0.08106,24.07,5.0,21.56,1.0,13.92,0.3,0.95,0.85,1.5
0.06483,22.12,4.997,20.08,1.001,14.1,0.35,0.95,0.85,1.5
0.05899,20.46,4.999,17.59,1.0,13.96,0.4,0.95,0.85,1.5
0.05683,19.12,4.999,16.09,1.0,13.88,0.45,0.95,0.85,1.5
0.05591,79.45,5.0,14.56,1.0,13.93,0.5,0.95,0.85,1.5
0.07536,19.54,5.002,14.1,1.0,13.86,0.55,0.95,0.85,1.5
0.08594,19.75,5.001,13.2,0.999,13.79,0.6,0.95,0.85,1.5
0.08388,19.96,5.001,13.19,1.0,13.95,0.65,0.95,0.85,1.5
0.06889,20.11,5.0,13.28,1.001,14.01,0.7,0.95,0.85,1.5
0.04647,19.32,5.0,13.36,1.001,13.99,0.75,0.95,0.85,1.5
0.04509,19.21,5.001,12.86,1.0,13.94,0.8,0.95,0.85,1.5
0.06022,20.64,4.999,12.94,1.001,14.01,0.85,0.95,0.85,1.5
0.06973,21.04,5.0,13.1,1.0,13.84,0.9,0.95,0.85,1.5
0.06336,21.38,5.001,13.37,0.999,13.79,0.95,0.95,0.85,1.5
0.04696,21.7,4.999,13.84,1.001,13.97,1.0,0.95,0.85,1.5
0.02774,66.11,4.917,-0.01,1.0,13.42,0.05,1.0,0.85,1.5
0.05194,47.06,5.009,54.8,1.0,13.45,0.1,1.0,0.85,1.5
0.07406,37.05,4.993,49.75,0.999,13.37,0.15,1.0,0.85,1.5
0.08895,30.98,5.005,29.37,1.0,13.55,0.2,1.0,0.85,1.5
0.09422,26.89,5.003,24.25,0.999,13.75,0.25,1.0,0.85,1.5
0.08923,24.0,5.004,20.68,0.999,13.46,0.3,1.0,0.85,1.5
0.07508,21.95,4.999,19.19,1.0,13.63,0.35,1.0,0.85,1.5
0.06214,20.22,4.998,17.41,1.001,13.73,0.4,1.0,0.85,1.5
0.05987,18.77,5.0,15.72,1.001,13.61,0.45,1.0,0.85,1.5
0.05775,19.01,4.999,14.8,1.001,13.71,0.5,1.0,0.85,1.5
0.07054,19.25,5.002,13.94,1.0,13.54,0.55,1.0,0.85,1.5
0.08694,19.47,5.0,13.02,1.0,13.55,0.6,1.0,0.85,1.5
0.09209,79.98,5.0,13.04,1.0,13.58,0.65,1.0,0.85,1.5
0.08389,19.86,5.001,12.96,0.999,13.46,0.7,1.0,0.85,1.5
0.06328,19.09,5.001,12.96,1.0,13.48,0.75,1.0,0.85,1.5
0.0475,18.61,5.0,12.84,1.001,13.67,0.8,1.0,0.85,1.5
0.0503,20.14,5.0,12.56,1.0,13.5,0.85,1.0,0.85,1.5
0.06721,20.65,4.999,12.75,1.001,13.6,0.9,1.0,0.85,1.5
0.07172,21.02,5.0,12.94,1.0,13.5,0.95,1.0,0.85,1.5
